id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
233378,27060,YMIA,6004,148,ASP,1,0,09,-34.22639846801758,142.07400512695312,166,102,,27,-34.229698181152344,142.09300231933594,160,282,
233379,27060,YMIA,3737,98,ASP,1,0,18,-34.225799560546875,142.08999633789062,162,186,,36,-34.23609924316406,142.08900451660156,165,6,
233380,27124,YQLP,4898,98,COP,1,0,09,-26.60890007019043,144.25,642,95,,27,-26.609800338745117,144.26499938964844,653,275,
233381,27124,YQLP,3510,98,CLA,0,0,18,-26.6015,144.255997,,195,,36,-26.610923,144.253167,,15,
233382,27055,YMGD,5020,98,ASP,1,0,14,-12.052599906921387,134.23300170898438,110,148.6,,32,-12.064399719238281,134.24000549316406,123,328.6,
233383,27066,YMML,7500,148,ASP,1,0,09,-37.66080093383789,144.82200622558594,395,94,,27,-37.66230010986328,144.84800720214844,407,274,
233384,27066,YMML,11998,197,ASP,1,0,16,-37.6531982421875,144.8350067138672,432,171,,34,-37.68579864501953,144.84100341796875,330,351,
233385,26918,YBSU,9186,148,ASPH,1,0,13,-26.583214,153.074524,15,142,,31,-26.603226,153.09169,15,322,
233386,26918,YBSU,5896,98,ASP,1,1,18,-26.59440040588379,153.093994140625,11,194,,36,-26.61009979248047,153.08999633789062,11,14,
233389,27081,YNAR,3346,98,GVL,0,0,05,-34.703701,146.509003,471,53,,23,-34.69871,146.517091,469,233,
233390,27081,YNAR,5302,98,ASP,1,0,14,-34.69329833984375,146.5050048828125,469,144,,32,-34.705101013183594,146.51600646972656,470,324,
233391,26908,YBHI,8251,98,ASP,1,0,05,-32.00899887084961,141.46099853515625,907,56,,23,-31.996299743652344,141.48300170898438,958,236,
233392,26908,YBHI,3281,98,SAN,1,0,14,-32.00379943847656,141.4669952392578,914,143,,32,-32.01100158691406,141.47300720214844,910,323,
233393,27050,YMEK,7156,98,ASP,1,0,09,-26.609100341796875,118.53500366210938,1691,85,,27,-26.60740089416504,118.55699920654297,1681,265,
233394,27050,YMEK,3494,98,SAN,0,0,15,-26.609358,118.549024,1713,139,,33,-26.6166,118.556,1693,319,
233395,26913,YBKT,4501,98,ASP,1,0,03,-17.75510025024414,139.531005859375,21,42,,21,-17.745899200439453,139.5399932861328,18,222,
233396,26913,YBKT,2484,98,CLA,0,0,14,-17.749500274658203,139.52699279785156,21,132,,32,-17.753999710083008,139.53199768066406,21,312,
